Class_0;Class_1;Predicted_Class;True_Label
0.9937992558;0.0062007442;0;0
0.9940499572;0.0059500428;0;0
0.9890565884;0.0109434116;0;0
0.9747902418;0.0252097582;0;0
0.1323909951;0.8676090049;1;1
0.8668383485;0.1331616515;0;0
0.9975624676;0.0024375324;0;0
0.9361593361;0.0638406639;0;0
0.4787243285;0.5212756715;1;1
0.0019022811;0.9980977189;1;1
0.0382821674;0.9617178326;1;1
0.0297990225;0.9702009775;1;1
0.9940486160;0.0059513840;0;0
0.9555169225;0.0444830775;0;0
0.0140135342;0.9859864658;1;1
0.0882409975;0.9117590025;1;1
0.9363628994;0.0636371006;0;0
0.9958558797;0.0041441203;0;0
0.9964830053;0.0035169947;0;0
0.9877745757;0.0122254243;0;0
0.9873828851;0.0126171149;0;0
0.8184450068;0.1815549932;0;0
0.2735121437;0.7264878563;1;0
0.9940033026;0.0059966974;0;0
0.7349533146;0.2650466854;0;0
0.0030425211;0.9969574789;1;1
0.0024689649;0.9975310351;1;1
0.0083155829;0.9916844171;1;1
0.9647074302;0.0352925698;0;0
0.0143282551;0.9856717449;1;1
0.9783531393;0.0216468607;0;0
0.9081015626;0.0918984374;0;0
0.9411724508;0.0588275492;0;0
0.9957002174;0.0042997826;0;0
0.3562660707;0.6437339293;1;1
0.9893800770;0.0106199230;0;0
0.0056635462;0.9943364538;1;1
0.0044494938;0.9955505062;1;1
0.0022357396;0.9977642604;1;1
0.9950914563;0.0049085437;0;0
0.9955376788;0.0044623212;0;0
0.9856502415;0.0143497585;0;0
0.0080661565;0.9919338435;1;1
0.9898575778;0.0101424222;0;0
0.1666908792;0.8333091208;1;1
0.9836378041;0.0163621959;0;0
0.9983948065;0.0016051935;0;0
0.9380064386;0.0619935614;0;0
0.0036979525;0.9963020475;1;1
0.9893799725;0.0106200275;0;0
0.9877592820;0.0122407180;0;0
0.9318016512;0.0681983488;0;0
0.0046843868;0.9953156132;1;1
0.9441779358;0.0558220642;0;0
0.0062919192;0.9937080808;1;1
0.9860927137;0.0139072863;0;0
0.9944854917;0.0055145083;0;0
0.9794275989;0.0205724011;0;0
0.9929141658;0.0070858342;0;0
0.0031465748;0.9968534252;1;1
0.9946408325;0.0053591675;0;0
0.0012124275;0.9987875725;1;1
0.9766832587;0.0233167413;0;0
0.0017548877;0.9982451123;1;1
0.1319648010;0.8680351990;1;1
0.9907130255;0.0092869745;0;0
0.0055910670;0.9944089330;1;1
0.0213549787;0.9786450213;1;1
0.8895688422;0.1104311578;0;0
0.9972567978;0.0027432022;0;0
0.9778109018;0.0221890982;0;0
0.9961540508;0.0038459492;0;0
0.0047611055;0.9952388945;1;1
0.9918544211;0.0081455789;0;0
0.0020757219;0.9979242781;1;1
0.0088521098;0.9911478902;1;1
0.8988733328;0.1011266672;0;0
0.9931695605;0.0068304395;0;0
0.9925508903;0.0074491097;0;0
0.9550913766;0.0449086234;0;0
0.9715685322;0.0284314678;0;0
0.9789145412;0.0210854588;0;0
0.9689642904;0.0310357096;0;0
0.0799673175;0.9200326825;1;1
0.9622715636;0.0377284364;0;0
0.0016910756;0.9983089244;1;1
0.9880413083;0.0119586917;0;0
0.9945728362;0.0054271638;0;0
0.6282114073;0.3717885927;0;0
0.0515945752;0.9484054248;1;1
0.9889725571;0.0110274429;0;0
0.9951218482;0.0048781518;0;0
0.0306195846;0.9693804154;1;1
0.9938121579;0.0061878421;0;0
0.0037619664;0.9962380336;1;1
0.9951274299;0.0048725701;0;0
0.1209201739;0.8790798261;1;1
0.7375381374;0.2624618626;0;0
0.9964216200;0.0035783800;0;0
0.0097431103;0.9902568897;1;1
0.9867072687;0.0132927313;0;0
0.9078082374;0.0921917626;0;0
0.0013536370;0.9986463630;1;1
0.9807092022;0.0192907978;0;0
0.9948686841;0.0051313159;0;0
0.8078623250;0.1921376750;0;0
0.0086086539;0.9913913461;1;1
0.9162704495;0.0837295505;0;0
0.0271744794;0.9728255206;1;1
0.0032008594;0.9967991406;1;1
0.9979203032;0.0020796968;0;0
0.9962917271;0.0037082729;0;0
0.0011494213;0.9988505787;1;1
0.2971062150;0.7028937850;1;1
