Class_0;Class_1;Predicted_Class;True_Label
0.0003413313;0.9996586687;1;1
0.9938736158;0.0061263842;0;0
0.0022258449;0.9977741551;1;1
0.9981497821;0.0018502179;0;0
0.9988400259;0.0011599741;0;0
0.9945354976;0.0054645024;0;0
0.0005132928;0.9994867072;1;1
0.0047906902;0.9952093098;1;1
0.9677119312;0.0322880688;0;0
0.9598854831;0.0401145169;0;0
0.9987753962;0.0012246038;0;0
0.9951254502;0.0048745498;0;0
0.2593478255;0.7406521745;1;1
0.0082489232;0.9917510768;1;1
0.9933394187;0.0066605813;0;0
0.9899357939;0.0100642061;0;0
0.0003991885;0.9996008115;1;1
0.9786138139;0.0213861861;0;0
0.9990488862;0.0009511138;0;0
0.9984850459;0.0015149541;0;0
0.0066227885;0.9933772115;1;1
0.9462218433;0.0537781567;0;1
0.0005702608;0.9994297392;1;1
0.9977794015;0.0022205985;0;0
0.9979339589;0.0020660411;0;0
0.9669911279;0.0330088721;0;0
0.9657918017;0.0342081983;0;1
0.9991990188;0.0008009812;0;0
0.9973511633;0.0026488367;0;0
0.0009161150;0.9990838850;1;1
0.0021406519;0.9978593481;1;1
0.9984794972;0.0015205028;0;0
0.0005925493;0.9994074507;1;1
0.0003533077;0.9996466923;1;1
0.9980924692;0.0019075308;0;0
0.9946446693;0.0053553307;0;0
0.9989517672;0.0010482328;0;0
0.9984157927;0.0015842073;0;0
0.0070720530;0.9929279470;1;1
0.0003773726;0.9996226274;1;1
0.0003871228;0.9996128772;1;1
0.9991927180;0.0008072820;0;0
0.0003131624;0.9996868376;1;1
0.9980273572;0.0019726428;0;0
0.9948209086;0.0051790914;0;0
0.9984474962;0.0015525038;0;0
0.9978549490;0.0021450510;0;0
0.0049816973;0.9950183027;1;1
0.9991112501;0.0008887499;0;0
0.9700190708;0.0299809292;0;0
0.9946137454;0.0053862546;0;0
0.0005537306;0.9994462694;1;1
0.0164836339;0.9835163661;1;1
0.9866585269;0.0133414731;0;0
0.9977502968;0.0022497032;0;0
0.0005489932;0.9994510068;1;1
0.9991871500;0.0008128500;0;0
0.0004102065;0.9995897935;1;1
0.9712001626;0.0287998374;0;0
0.9954891600;0.0045108400;0;0
0.9982895193;0.0017104807;0;0
0.9957470039;0.0042529961;0;0
0.9980531940;0.0019468060;0;0
0.0005961020;0.9994038980;1;1
0.0032616988;0.9967383012;1;1
0.9987567785;0.0012432215;0;0
0.8888188815;0.1111811185;0;0
0.4535604943;0.5464395057;1;1
0.9184785876;0.0815214124;0;0
0.9829572959;0.0170427041;0;0
0.9938457249;0.0061542751;0;0
0.9980214886;0.0019785114;0;0
0.0002994578;0.9997005422;1;1
0.9973833622;0.0026166378;0;0
0.9934289322;0.0065710678;0;0
0.0007536274;0.9992463726;1;1
0.9832092766;0.0167907234;0;0
0.9989730943;0.0010269057;0;0
0.7049171273;0.2950828727;0;0
0.0005382785;0.9994617215;1;1
0.9990894457;0.0009105543;0;0
0.0004261465;0.9995738535;1;1
0.0002902505;0.9997097495;1;1
0.9235550052;0.0764449948;0;0
0.9834794679;0.0165205321;0;0
0.9989618343;0.0010381657;0;0
0.3057682642;0.6942317358;1;1
0.0004623527;0.9995376473;1;1
0.9940316700;0.0059683300;0;0
0.0006019728;0.9993980272;1;1
0.0018958252;0.9981041748;1;1
0.9961731587;0.0038268413;0;0
0.0006237330;0.9993762670;1;1
0.0852283520;0.9147716480;1;1
0.9988921204;0.0011078796;0;0
0.9980575430;0.0019424570;0;0
0.3499467366;0.6500532634;1;1
0.9943668613;0.0056331387;0;0
0.9983638372;0.0016361628;0;0
0.9694147375;0.0305852625;0;0
0.0002927560;0.9997072440;1;1
0.9980035198;0.0019964802;0;0
0.0806137189;0.9193862811;1;1
0.9989890619;0.0010109381;0;0
0.9984878365;0.0015121635;0;0
0.9986939690;0.0013060310;0;0
0.9985123710;0.0014876290;0;0
0.9653498345;0.0346501655;0;0
0.9992924368;0.0007075632;0;0
0.0017528326;0.9982471674;1;1
0.9214152436;0.0785847564;0;0
0.9979006135;0.0020993865;0;0
0.9960039665;0.0039960335;0;0
0.9992837153;0.0007162847;0;0
