Class_0;Class_1;Predicted_Class;True_Label
0.0039942128;0.9960057872;1;1
0.0070728138;0.9929271862;1;1
0.9327933350;0.0672066650;0;0
0.0074392754;0.9925607246;1;1
0.9932634099;0.0067365901;0;0
0.0089471380;0.9910528620;1;1
0.0014598240;0.9985401760;1;1
0.4239385884;0.5760614116;1;1
0.9948971117;0.0051028883;0;0
0.1619879369;0.8380120631;1;1
0.9829300385;0.0170699615;0;0
0.9920045066;0.0079954934;0;0
0.0023893539;0.9976106461;1;1
0.9874045833;0.0125954167;0;0
0.0053829607;0.9946170393;1;1
0.9463710428;0.0536289572;0;0
0.5545891286;0.4454108714;0;0
0.9960623570;0.0039376430;0;0
0.9962259602;0.0037740398;0;0
0.9953236781;0.0046763219;0;0
0.9924802063;0.0075197937;0;0
0.0061448852;0.9938551148;1;1
0.9905592444;0.0094407556;0;0
0.9419485305;0.0580514695;0;0
0.9939014885;0.0060985115;0;0
0.8815048477;0.1184951523;0;0
0.9540036815;0.0459963185;0;0
0.0036326270;0.9963673730;1;1
0.0024187853;0.9975812147;1;1
0.0136828402;0.9863171598;1;1
0.9958566713;0.0041433287;0;0
0.0008889792;0.9991110208;1;1
0.5014623172;0.4985376828;0;0
0.0096626535;0.9903373465;1;1
0.0010690470;0.9989309530;1;1
0.9886114732;0.0113885268;0;0
0.9927463480;0.0072536520;0;0
0.9968018276;0.0031981724;0;0
0.9916275771;0.0083724229;0;0
0.9937159779;0.0062840221;0;0
0.0015343833;0.9984656167;1;1
0.9366202586;0.0633797414;0;0
0.9921755716;0.0078244284;0;0
0.4464388347;0.5535611653;1;0
0.9657037162;0.0342962838;0;0
0.0018982114;0.9981017886;1;1
0.9877542049;0.0122457951;0;0
0.9974089393;0.0025910607;0;0
0.9670539028;0.0329460972;0;0
0.9968933915;0.0031066085;0;0
0.9818269215;0.0181730785;0;0
0.0009844791;0.9990155209;1;1
0.0097204212;0.9902795788;1;1
0.9860261357;0.0139738643;0;0
0.0022258401;0.9977741599;1;1
0.0142644924;0.9857355076;1;1
0.9967728546;0.0032271454;0;0
0.0216570208;0.9783429792;1;1
0.9916432144;0.0083567856;0;0
0.6216251280;0.3783748720;0;0
0.9839002060;0.0160997940;0;0
0.3047308202;0.6952691798;1;1
0.9885898661;0.0114101339;0;0
0.0011044796;0.9988955204;1;1
0.9940849565;0.0059150435;0;0
0.9951698467;0.0048301533;0;0
0.5951871763;0.4048128237;0;0
0.9480692116;0.0519307884;0;0
0.9821571350;0.0178428650;0;0
0.9882974206;0.0117025794;0;0
0.0189338699;0.9810661301;1;1
0.9927206378;0.0072793622;0;0
0.0011983515;0.9988016485;1;1
0.9801086683;0.0198913317;0;0
0.0011780240;0.9988219760;1;1
0.9948848362;0.0051151638;0;0
0.9747192476;0.0252807524;0;0
0.9968885743;0.0031114257;0;0
0.9039532427;0.0960467573;0;0
0.8969763687;0.1030236313;0;0
0.9972771392;0.0027228608;0;0
0.9922236246;0.0077763754;0;0
0.9947233476;0.0052766524;0;0
0.9220447619;0.0779552381;0;0
0.0830623773;0.9169376227;1;1
0.9522462513;0.0477537487;0;0
0.9970357279;0.0029642721;0;0
0.8449656343;0.1550343657;0;0
0.9849038350;0.0150961650;0;0
0.0015771867;0.9984228133;1;1
0.9579434806;0.0420565194;0;0
0.0319194775;0.9680805225;1;1
0.0042900535;0.9957099465;1;1
0.0028589180;0.9971410820;1;1
0.4933222905;0.5066777095;1;0
0.9749541058;0.0250458942;0;0
0.9959150712;0.0040849288;0;0
0.0033358301;0.9966641699;1;1
0.0011927627;0.9988072373;1;1
0.9958225830;0.0041774170;0;0
0.0024036033;0.9975963967;1;1
0.9871373417;0.0128626583;0;0
0.1619783887;0.8380216113;1;1
0.0011917769;0.9988082231;1;1
0.0039472071;0.9960527929;1;1
0.9363911563;0.0636088437;0;0
0.0008848676;0.9991151324;1;1
0.0012352248;0.9987647752;1;1
0.9945346046;0.0054653954;0;0
0.5815406601;0.4184593399;0;0
0.6572816131;0.3427183869;0;0
0.9539147583;0.0460852417;0;0
0.9906847934;0.0093152066;0;0
0.0031031461;0.9968968539;1;1
