Class_0;Class_1;Predicted_Class;True_Label
0.9920950716;0.0079049284;0;0
0.9770682951;0.0229317049;0;0
0.7611562960;0.2388437040;0;0
0.0080697284;0.9919302716;1;1
0.1789487758;0.8210512242;1;1
0.9385038327;0.0614961673;0;0
0.9346011504;0.0653988496;0;0
0.9823756294;0.0176243706;0;0
0.9701415232;0.0298584768;0;0
0.7594165940;0.2405834060;0;0
0.9756150330;0.0243849670;0;0
0.9919409719;0.0080590281;0;0
0.9627581566;0.0372418434;0;0
0.9955484572;0.0044515428;0;0
0.0129703561;0.9870296439;1;1
0.4192231152;0.5807768848;1;0
0.8302964576;0.1697035424;0;0
0.0085606832;0.9914393168;1;1
0.9747570405;0.0252429595;0;0
0.9928898204;0.0071101796;0;0
0.8707808662;0.1292191338;0;0
0.8786124137;0.1213875863;0;0
0.9945659841;0.0054340159;0;0
0.4748352583;0.5251647417;1;1
0.0362449879;0.9637550121;1;1
0.9854769102;0.0145230898;0;0
0.9743170097;0.0256829903;0;0
0.4166787294;0.5833212706;1;1
0.9831485452;0.0168514548;0;0
0.1342972395;0.8657027605;1;1
0.9923152716;0.0076847284;0;0
0.9269812888;0.0730187112;0;0
0.8929297742;0.1070702258;0;0
0.9890138992;0.0109861008;0;0
0.9968458496;0.0031541504;0;0
0.0033924481;0.9966075519;1;1
0.9852830288;0.0147169712;0;0
0.1798197254;0.8201802746;1;1
0.9960180063;0.0039819937;0;0
0.0203960528;0.9796039472;1;1
0.2876881288;0.7123118712;1;1
0.9812856780;0.0187143220;0;0
0.0018512309;0.9981487691;1;1
0.9743666408;0.0256333592;0;0
0.8331720351;0.1668279649;0;0
0.0868022958;0.9131977042;1;1
0.9415307372;0.0584692628;0;0
0.5077223247;0.4922776753;0;1
0.0046132066;0.9953867934;1;1
0.9773183710;0.0226816290;0;0
0.0039042252;0.9960957748;1;1
0.9926145456;0.0073854544;0;0
0.1385142394;0.8614857606;1;1
0.9941722341;0.0058277659;0;0
0.0761235415;0.9238764585;1;1
0.7813604136;0.2186395864;0;0
0.9896062856;0.0103937144;0;0
0.2538529123;0.7461470877;1;1
0.0022823028;0.9977176972;1;1
0.0240629722;0.9759370278;1;1
0.9901398288;0.0098601712;0;0
0.0016198814;0.9983801186;1;1
0.0140987022;0.9859012978;1;1
0.8064970545;0.1935029455;0;1
0.7065121844;0.2934878156;0;0
0.9934299598;0.0065700402;0;0
0.8806608149;0.1193391851;0;0
0.9712858926;0.0287141074;0;0
0.9524126493;0.0475873507;0;0
0.0156672886;0.9843327114;1;1
0.9877966622;0.0122033378;0;0
0.9594360409;0.0405639591;0;0
0.7430975291;0.2569024709;0;0
0.0013865360;0.9986134640;1;1
0.9972505878;0.0027494122;0;0
0.9862725802;0.0137274198;0;0
0.7500238360;0.2499761640;0;0
0.9947297688;0.0052702312;0;0
0.0295855743;0.9704144257;1;1
0.9909887020;0.0090112980;0;0
0.0075656755;0.9924343245;1;1
0.9922459511;0.0077540489;0;0
0.7320198997;0.2679801003;0;1
0.0114746528;0.9885253472;1;1
0.7344877663;0.2655122337;0;0
0.9867306470;0.0132693530;0;0
0.7510884538;0.2489115462;0;0
0.7591103111;0.2408896889;0;0
0.9945647021;0.0054352979;0;0
0.9780389157;0.0219610843;0;0
0.0024657313;0.9975342687;1;1
0.9871087016;0.0128912984;0;0
0.9929478467;0.0070521533;0;0
0.0080307511;0.9919692489;1;1
0.0017980749;0.9982019251;1;1
0.0303876605;0.9696123395;1;1
0.9316363320;0.0683636680;0;0
0.0023211801;0.9976788199;1;1
0.9953179426;0.0046820574;0;0
0.9928770900;0.0071229100;0;0
0.9893581399;0.0106418601;0;0
0.9949967530;0.0050032470;0;0
0.9798501796;0.0201498204;0;0
0.8880516486;0.1119483514;0;0
0.6208270085;0.3791729915;0;1
0.0024923883;0.9975076117;1;1
0.0269072984;0.9730927016;1;1
0.9925502698;0.0074497302;0;0
0.9934453447;0.0065546553;0;0
0.9974660536;0.0025339464;0;0
0.0133446349;0.9866553651;1;1
0.0180355736;0.9819644264;1;1
0.9829488376;0.0170511624;0;0
0.0153280162;0.9846719838;1;1
