Class_0;Class_1;Predicted_Class;True_Label
0.9081447992;0.0918552008;0;0
0.9955915460;0.0044084540;0;0
0.9935384341;0.0064615659;0;0
0.0346123506;0.9653876494;1;1
0.3289822013;0.6710177987;1;1
0.0033050403;0.9966949597;1;1
0.9973013658;0.0026986342;0;0
0.0398378949;0.9601621051;1;1
0.9965791154;0.0034208846;0;0
0.9914490891;0.0085509109;0;0
0.6799029805;0.3200970195;0;0
0.9957875696;0.0042124304;0;0
0.8986091790;0.1013908210;0;0
0.9893455309;0.0106544691;0;0
0.9976351817;0.0023648183;0;0
0.0064329616;0.9935670384;1;1
0.0298888912;0.9701111088;1;1
0.0032180944;0.9967819056;1;1
0.8737709755;0.1262290245;0;0
0.9413566217;0.0586433783;0;0
0.9975868605;0.0024131395;0;0
0.8328749542;0.1671250458;0;0
0.0026013593;0.9973986407;1;1
0.9866949327;0.0133050673;0;0
0.9483671857;0.0516328143;0;0
0.7150038033;0.2849961967;0;0
0.9703681113;0.0296318887;0;0
0.9941995892;0.0058004108;0;0
0.9830917838;0.0169082162;0;0
0.9961150856;0.0038849144;0;0
0.9901180368;0.0098819632;0;0
0.9969832560;0.0030167440;0;0
0.0549459771;0.9450540229;1;1
0.6299569332;0.3700430668;0;0
0.9855719279;0.0144280721;0;0
0.0676924697;0.9323075303;1;1
0.0280927885;0.9719072115;1;1
0.0020123655;0.9979876345;1;1
0.0037942235;0.9962057765;1;1
0.9441138575;0.0558861425;0;0
0.9432927528;0.0567072472;0;0
0.9979803671;0.0020196329;0;0
0.9572914476;0.0427085524;0;0
0.9976689105;0.0023310895;0;0
0.9813023792;0.0186976208;0;0
0.0043018334;0.9956981666;1;1
0.0014768995;0.9985231005;1;1
0.0034994967;0.9965005033;1;1
0.8879503923;0.1120496077;0;0
0.9965413747;0.0034586253;0;0
0.0193040570;0.9806959430;1;1
0.0063913302;0.9936086698;1;1
0.0165731449;0.9834268551;1;1
0.9978321851;0.0021678149;0;0
0.0023828063;0.9976171937;1;1
0.5878364752;0.4121635248;0;0
0.0036991027;0.9963008973;1;1
0.9887069631;0.0112930369;0;0
0.9968358086;0.0031641914;0;0
0.8655374751;0.1344625249;0;0
0.0019535421;0.9980464579;1;1
0.0026428809;0.9973571191;1;1
0.8682896421;0.1317103579;0;0
0.9686941453;0.0313058547;0;0
0.0428556965;0.9571443035;1;1
0.0018522034;0.9981477966;1;1
0.9896142983;0.0103857017;0;0
0.9950395373;0.0049604627;0;0
0.0180050661;0.9819949339;1;1
0.0228110907;0.9771889093;1;1
0.9876801861;0.0123198139;0;0
0.0032601750;0.9967398250;1;1
0.9884665241;0.0115334759;0;0
0.9958232562;0.0041767438;0;0
0.9972285896;0.0027714104;0;0
0.4197681014;0.5802318986;1;1
0.9943515251;0.0056484749;0;0
0.0039155367;0.9960844633;1;1
0.9933069932;0.0066930068;0;0
0.9950165858;0.0049834142;0;0
0.9865896893;0.0134103107;0;0
0.9969078169;0.0030921831;0;0
0.8394281009;0.1605718991;0;0
0.9698516164;0.0301483836;0;0
0.9908281382;0.0091718618;0;0
0.0088811506;0.9911188494;1;1
0.5215776640;0.4784223360;0;0
0.0033768479;0.9966231521;1;1
0.0120162635;0.9879837365;1;1
0.9055720205;0.0944279795;0;0
0.7464241330;0.2535758670;0;0
0.8975943906;0.1024056094;0;0
0.9516918859;0.0483081141;0;0
0.9915169781;0.0084830219;0;0
0.0175974531;0.9824025469;1;1
0.9971509111;0.0028490889;0;0
0.9851466420;0.0148533580;0;0
0.9920077400;0.0079922600;0;0
0.1212284958;0.8787715042;1;1
0.0017127933;0.9982872067;1;1
0.9944948195;0.0055051805;0;0
0.0051404247;0.9948595753;1;1
0.9769279180;0.0230720820;0;0
0.0021686222;0.9978313778;1;1
0.9773829308;0.0226170692;0;0
0.9549210241;0.0450789759;0;0
0.0096404678;0.9903595322;1;1
0.0222272106;0.9777727894;1;1
0.9977343447;0.0022656553;0;0
0.0581376874;0.9418623126;1;1
0.9773740428;0.0226259572;0;0
0.0018158072;0.9981841928;1;1
0.9863460063;0.0136539937;0;0
0.9305898630;0.0694101370;0;0
